file,node_id,cardinal,seq,street,direction,a_sidewalk_shed,a_sidewalk_shed__crop,scaffolding,scaffolding__crop,construction_scaffolding_on_a_building_facade,construction_scaffolding_on_a_building_facade__crop,a_green_wooden_shed_over_the_sidewalk,a_green_wooden_shed_over_the_sidewalk__crop,metal_scaffold_poles,metal_scaffold_poles__crop,a_construction_fence,a_construction_fence__crop,a_plywood_construction_barrier,a_plywood_construction_barrier__crop,a_street_tree,a_street_tree__crop
east_38th_street/east_to_west/25_n00477_W.jpg,n00477,W,25,east_38th_street,east_to_west,0.15789,2,0.24158,3,0.22215,3,0.16178,2,0.18607,3,0.31995,0,0.12508,3,0.48642,0
east_38th_street/east_to_west/26_n00476_W.jpg,n00476,W,26,east_38th_street,east_to_west,0.20635,2,0.23544,1,0.22129,1,0.14185,2,0.16053,1,0.40467,3,0.13206,2,0.59859,2
east_38th_street/east_to_west/27_n00475_W.jpg,n00475,W,27,east_38th_street,east_to_west,0.2868,1,0.36327,1,0.27902,1,0.17877,1,0.22996,3,0.37403,2,0.18546,3,0.48239,2
east_38th_street/east_to_west/28_n00474_W.jpg,n00474,W,28,east_38th_street,east_to_west,0.24557,3,0.30114,1,0.25508,3,0.19868,3,0.20392,3,0.40219,1,0.22792,3,0.4526,2
east_38th_street/east_to_west/29_n00473_W.jpg,n00473,W,29,east_38th_street,east_to_west,0.20653,1,0.20987,3,0.22362,3,0.18795,3,0.2139,3,0.21321,1,0.30655,2,0.56309,3
east_38th_street/east_to_west/30_n00472_W.jpg,n00472,W,30,east_38th_street,east_to_west,0.27503,3,0.31231,1,0.23621,0,0.16579,3,0.2628,0,0.29454,0,0.14907,2,0.35306,3
east_38th_street/east_to_west/31_n00471_W.jpg,n00471,W,31,east_38th_street,east_to_west,0.18221,1,0.29365,2,0.30613,0,0.17431,1,0.2193,3,0.31545,3,0.13784,2,0.39422,3
east_38th_street/east_to_west/32_n00470_W.jpg,n00470,W,32,east_38th_street,east_to_west,0.19104,3,0.53158,1,0.4827,1,0.12083,3,0.2836,3,0.33846,0,0.21231,3,0.25204,3
east_38th_street/east_to_west/33_n00469_W.jpg,n00469,W,33,east_38th_street,east_to_west,0.26601,3,0.28566,3,0.30456,3,0.17964,3,0.23107,2,0.39141,2,0.14916,0,0.40783,3
east_38th_street/east_to_west/34_n00468_W.jpg,n00468,W,34,east_38th_street,east_to_west,0.19159,0,0.26096,0,0.2229,3,0.1182,3,0.20279,0,0.2003,3,0.16218,0,0.33051,2
east_38th_street/east_to_west/35_n00467_W.jpg,n00467,W,35,east_38th_street,east_to_west,0.29802,1,0.3892,3,0.23406,1,0.23224,1,0.20145,3,0.31675,3,0.1204,3,0.4969,3
east_38th_street/east_to_west/36_n00466_W.jpg,n00466,W,36,east_38th_street,east_to_west,0.23007,0,0.39403,2,0.3002,1,0.17795,0,0.19593,1,0.3622,2,0.16395,3,0.40718,1
east_38th_street/east_to_west/37_n00465_W.jpg,n00465,W,37,east_38th_street,east_to_west,0.19498,2,0.21138,3,0.31994,3,0.15867,2,0.1301,3,0.24077,3,0.15333,2,0.45181,3
east_38th_street/east_to_west/38_n00464_W.jpg,n00464,W,38,east_38th_street,east_to_west,0.18636,3,0.24982,3,0.29006,1,0.09486,1,0.22956,3,0.19963,3,0.13298,3,0.33765,3
