node_id,osm_name,dob_nearest_m,dob_n_within,dob_shed,dob_any,dob_types
n00341,East 35th Street,28.2,1,True,True,Sidewalk Shed
n00340,East 35th Street,48.1,0,False,False,
n00339,East 35th Street,59.0,0,False,False,
n00338,East 35th Street,48.7,0,False,False,
n00337,East 35th Street,45.5,0,False,False,
n00336,East 35th Street,50.7,0,False,False,
n00335,East 35th Street,62.3,0,False,False,
n00334,East 35th Street,58.9,0,False,False,
n00333,East 35th Street,38.9,0,False,False,
n00332,East 35th Street,19.0,1,True,True,Sidewalk Shed
n00331,East 35th Street,1.1,1,True,True,Sidewalk Shed
n00330,East 35th Street,21.1,1,True,True,Sidewalk Shed
n00329,East 35th Street,21.5,1,False,True,Supported Scaffold
n00328,East 35th Street,2.0,1,False,True,Supported Scaffold
n00327,East 35th Street,18.6,1,False,True,Supported Scaffold
n00326,East 35th Street,38.6,0,False,False,
n00325,East 35th Street,58.6,0,False,False,
n00324,East 35th Street,54.1,0,False,False,
n00323,East 35th Street,37.6,0,False,False,
n00322,East 35th Street,26.3,5,True,True,Sidewalk Shed|Supported Scaffold|Suspended Scaffold
n00321,East 35th Street,27.8,5,True,True,Sidewalk Shed|Supported Scaffold|Suspended Scaffold
n00320,East 35th Street,40.8,0,False,False,
n00319,East 35th Street,57.9,0,False,False,
n00318,East 35th Street,44.6,0,False,False,
n00317,East 35th Street,24.6,5,True,True,Construction Fence|Sidewalk Shed|Supported Scaffold|Suspended Scaffold
n00316,East 35th Street,4.7,8,True,True,Construction Fence|Sidewalk Shed|Supported Scaffold|Suspended Scaffold
n00315,East 35th Street,1.3,8,True,True,Construction Fence|Sidewalk Shed|Supported Scaffold|Suspended Scaffold
n00314,East 35th Street,19.8,7,True,True,Sidewalk Shed|Supported Scaffold|Suspended Scaffold
n00361,East 36th Street,22.3,6,True,True,Construction Fence|Sidewalk Shed|Supported Scaffold|Suspended Scaffold
n00362,East 36th Street,29.4,3,True,True,Sidewalk Shed|Supported Scaffold|Suspended Scaffold
n00363,East 36th Street,40.5,0,False,False,
n00364,East 36th Street,56.7,0,False,False,
n00365,East 36th Street,74.7,0,False,False,
n00366,East 36th Street,85.9,0,False,False,
n00367,East 36th Street,71.2,0,False,False,
n00368,East 36th Street,59.9,0,False,False,
n00369,East 36th Street,53.7,0,False,False,
