node_id,osm_name,chain,chain_pos_m,lat,lon,typology,northing_m,easting_m,in_study,in_cleaned,cleaned_street,cleaned_direction,cleaned_id,street_segment,cross_dist,along_dist,mapping_id,is_tunnel,is_bridge,osm_heading_fwd,osm_heading_rev,usable,exclude_reason
n00612,East 41st Street,east_41st_street#1,539.9916590531078,40.750706,-73.97635,mid_block,571.2800611470345,339.5169741520761,True,True,east_41st_street,Eastbound,east_41st_street_018,east_41st_street,-118.4434160415887,228.86117504582995,east_41st_street_018,0.0,0.0,298.7,118.7,True,
n00611,East 41st Street,east_41st_street#1,559.979667742022,40.75079200000001,-73.976558,mid_block,571.0902883431147,319.5660106559503,True,True,east_41st_street,Eastbound,east_41st_street_017,east_41st_street,-138.42844585029542,228.70268377473985,east_41st_street_017,0.0,0.0,298.1,118.1,True,
n00610,East 41st Street,east_41st_street#1,580.0418681385846,40.75087799999999,-73.976767,mid_block,570.8596295138714,299.54128682571826,True,True,east_41st_street,Eastbound,east_41st_street_016,east_41st_street,-158.48729751093194,228.50327238383213,east_41st_street_016,0.0,0.0,298.9,118.9,True,
n00609,East 41st Street,east_41st_street#1,599.9894506049613,40.750965999999984,-73.976973,mid_block,570.9449896760342,279.6306622921817,True,True,east_41st_street,Eastbound,east_41st_street_015,east_41st_street,-178.4323600038235,228.62087469852472,east_41st_street_015,0.0,0.0,299.5,119.5,True,
n00608,East 41st Street,east_41st_street#1,619.9916159600391,40.751055,-73.977179,mid_block,571.1270303031278,259.66644690183534,True,True,east_41st_street,Eastbound,east_41st_street_014,east_41st_street,-198.43126069054605,228.835603685946,east_41st_street_014,0.0,0.0,298.7,118.7,True,
n00607,East 41st Street,east_41st_street#1,640.0537531672614,40.751141,-73.977388,mid_block,570.8963714752584,239.64172307084164,True,True,east_41st_street,Eastbound,east_41st_street_013,east_41st_street,-218.49011235080008,228.6361922943482,east_41st_street_013,0.0,0.0,298.3,118.3,True,
n00606,East 41st Street,east_41st_street#1,659.9888700550495,40.751226,-73.977596,mid_block,570.6099182077814,219.74435043076417,True,True,east_41st_street,Eastbound,east_41st_street_012,east_41st_street,-238.4213039664408,228.3805743519096,east_41st_street_012,0.0,0.0,298.3,118.3,True,
n00605,East 41st Street,east_41st_street#1,679.9767544715083,40.75131199999999,-73.977804,mid_block,570.4201454011139,199.79338693616148,True,True,east_41st_street,Eastbound,east_41st_street_011,east_41st_street,-258.40633377514746,228.2220830808194,east_41st_street_011,0.0,0.0,298.7,118.7,True,
n00604,East 41st Street,east_41st_street#1,699.978838733235,40.75140100000001,-73.97801,mid_block,570.6021860287885,179.82917154686334,True,True,east_41st_street,Eastbound,east_41st_street_010,east_41st_street,-278.40523446082096,228.43681206882223,east_41st_street_010,0.0,0.0,300.5,120.5,True,
n00603,East 41st Street,east_41st_street#1,719.9628121132718,40.751491,-73.978215,mid_block,570.921793137893,159.8851256383827,True,True,east_41st_street,Eastbound,east_41st_street_009,east_41st_street,-298.3841514894447,228.78958784878995,east_41st_street_009,0.0,0.0,298.9,118.9,True,
n00602,East 41st Street,east_41st_street#1,740.0038972398306,40.751578,-73.978423,mid_block,570.8287007947824,139.8805712877317,True,True,east_41st_street,Eastbound,east_41st_street_008,east_41st_street,-318.4230194919824,228.72822325042853,east_41st_street_008,0.0,0.0,298.9,118.9,True,
n00601,East 41st Street,east_41st_street#1,759.9710295701117,40.751665,-73.97863,mid_block,570.7764944741414,119.9497772741392,True,True,east_41st_street,Eastbound,east_41st_street_007,east_41st_street,-338.38806564192373,228.7077787731563,east_41st_street_007,0.0,0.0,299.0,119.0,True,
n00600,East 41st Street,east_41st_street#1,779.992075943569,40.751753,-73.978837,mid_block,570.8209686151024,99.96539240421168,True,True,east_41st_street,Eastbound,east_41st_street_006,east_41st_street,-358.40694998636263,228.7844609673412,east_41st_street_006,0.0,0.0,299.0,119.0,True,
n00599,East 41st Street,east_41st_street#1,799.9591668248371,40.75184,-73.979044,mid_block,570.7687622931934,80.03459838995167,True,True,east_41st_street,Eastbound,east_41st_street_005,east_41st_street,-378.371996137353,228.76401648948752,east_41st_street_005,0.0,0.0,298.8,118.8,True,
n00598,East 41st Street,east_41st_street#1,820.0001687869513,40.751927,-73.979252,mid_block,570.6756699500827,60.03004403930072,True,True,east_41st_street,Eastbound,east_41st_street_004,east_41st_street,-398.4108641398907,228.7026518911261,east_41st_street_004,0.0,0.0,298.5,118.5,True,
n00597,East 41st Street,east_41st_street#1,839.9878857653584,40.75201299999999,-73.97946,mid_block,570.485897144102,40.079080544317264,True,True,east_41st_street,Eastbound,east_41st_street_003,east_41st_street,-418.39589394859735,228.544160620036,east_41st_street_003,0.0,0.0,298.5,118.5,True,
n00596,East 41st Street,east_41st_street#1,859.9755821854021,40.752099,-73.979668,mid_block,570.2961243394951,20.12811704857228,True,True,east_41st_street,Eastbound,east_41st_street_002,east_41st_street,-438.3809237576866,228.3856693496359,east_41st_street_002,0.0,0.0,297.4,117.4,True,
n00595,East 41st Street,east_41st_street#1,880.0074413470395,40.752183,-73.979878,mid_block,569.8312185653709,0.1368145921418886,True,True,east_41st_street,Eastbound,east_41st_street_001,east_41st_street,-458.405920882591,227.95108449345315,east_41st_street_001,0.0,0.0,299.0,119.0,True,
n00641,East 42nd Street,east_42nd_street,0.0,40.752856,-73.979386,mid_block,655.0130925985368,0.3602543013706736,True,True,east_42nd_street,Eastbound,east_42nd_street_001,east_42nd_street,-458.3186741122965,313.45003428075546,east_42nd_street_001,0.0,0.0,299.6,119.6,True,
n00642,East 42nd Street,east_42nd_street,19.98366377841275,40.752766,-73.979181,mid_block,654.6934854880585,20.30430021061278,True,True,east_42nd_street,Eastbound,east_42nd_street_002,east_42nd_street,-438.3397570836728,313.09725850078786,east_42nd_street_002,0.0,0.0,299.6,119.6,True,
n00643,East 42nd Street,east_42nd_street,40.02447322376948,40.75267899999999,-73.978973,mid_block,654.7865778311691,40.308854561263786,True,True,east_42nd_street,Eastbound,east_42nd_street_003,east_42nd_street,-418.3008890811351,313.1586230991493,east_42nd_street_003,0.0,0.0,299.2,119.2,True,
n00644,East 42nd Street,east_42nd_street,60.00380869211987,40.75258399999999,-73.978772,mid_block,653.8200243196848,60.22581340156404,True,True,east_42nd_street,Eastbound,east_42nd_street_004,east_42nd_street,-398.3480684927913,312.1565334744146,east_42nd_street_004,0.0,0.0,300.2,120.2,True,
n00645,East 42nd Street,east_42nd_street,80.05491766418265,40.752489,-73.97857,mid_block,652.8943568327309,80.21653257778024,True,True,east_42nd_street,Eastbound,east_42nd_street_005,east_42nd_street,-378.3214260518511,311.195363970769,east_42nd_street_005,0.0,0.0,302.2,122.2,True,
n00646,East 42nd Street,east_42nd_street,100.04252816357132,40.752403,-73.978362,mid_block,653.0841296380247,100.16749607314448,True,True,east_42nd_street,Eastbound,east_42nd_street_006,east_42nd_street,-358.33639624314435,311.3538552418591,east_42nd_street_006,0.0,0.0,299.7,119.7,True,
