node_id,GVI_E_east,GVI_N_uptown,GVI_S_downtown,GVI_W_west,GVI_full360,VEI_E_east,VEI_N_uptown,VEI_S_downtown,VEI_W_west,VEI_full360,osm_name,typology,northing_m,lat,lon
n00676,0.33319933648204697,0.894676217138144,0.04657387867725949,0.6080507593333565,0.47062504790770177,0.8801510995272069,0.8504246098447715,0.8672213110769939,0.8371682663225849,0.8588899138839496,East 42nd Street,mid_block,656.4348443373553,40.749803,-73.972132
n00677,1.559678795495907,0.60456745233957,1.0214454225426293,0.0663340793862921,0.8130064374410998,0.8967378303417279,0.9136185888040849,0.9404930003456886,0.9556321635638643,0.9269867142796353,East 42nd Street,mid_block,656.115237226877,40.74971299999999,-73.971927
n00678,6.332647097160961,4.85509085537028,1.9277197408253128,0.45016349903463054,3.3914052980977965,0.863032648239933,0.9009478054653073,0.9145851125237742,0.9513174171295977,0.9079907425395833,East 42nd Street,mid_block,656.0707630860218,40.749625,-73.97172
n00679,2.987947792519635,4.612590381301713,2.5540468239315315,4.178689412713609,3.5833186026166217,0.8641642428573166,0.8770720116181767,0.924743310032716,0.9403990517133612,0.9015971508744691,East 42nd Street,mid_block,656.0262889436868,40.74953699999999,-73.971513
n00680,5.10099997270553,6.066663891373397,2.7149113461637118,3.6805752648315777,4.390787618768554,0.7667974590378345,0.7926822242831756,0.9080427501499327,0.943506809726059,0.8571313635243795,East 42nd Street,mid_block,656.0784952655958,40.749449999999996,-73.971306
n00681,8.078620024789446,7.282635338892476,4.175192912976234,3.379208227079263,5.728914125934355,0.6084952868766722,0.7956693388341614,0.7752119602918524,0.9209033708923048,0.7842168835102326,East 42nd Street,mid_block,656.0340211232609,40.749361999999984,-73.971099
n00682,3.777127421866586,3.6629895153099143,3.5765507161641357,3.462412809607465,3.6197701157370252,0.6714978610613569,0.8168580359756776,0.7163302378712815,0.832743400427642,0.76448442147968,East 42nd Street,mid_block,656.0862274452759,40.749275,-73.970892
n00683,7.963448932236843,4.444450392415001,6.571991214486044,3.052992674664202,5.508220803450524,0.6780421435791153,0.7228454995761446,0.6741052528261625,0.7063419182366854,0.6967933215312607,East 42nd Street,mid_block,656.0417533043149,40.749187,-73.970685
n00684,0.6839934888619779,0.7436599717847276,1.3874507845947681,1.447117267517518,1.0655553781897482,0.8870525012798761,0.8934949972717668,0.7055408580994031,0.7493507094407023,0.8194145379150495,East 42nd Street,mid_block,656.0939596248498,40.74909999999999,-73.970478
n00685,1.9507208135528638,1.2865301931052617,2.845169664615559,2.1809790441679566,2.065849928860411,0.5716283353374293,0.8557960095284852,0.5307821010052037,0.9322270593814121,0.7005747929404401,East 42nd Street,mid_block,656.0494854845758,40.749012,-73.970271
n00686,0.8038888718424857,1.9043737417732565,1.2482861282813804,2.348770998212151,1.5763299350273186,0.32611297221096897,0.68271309682016,0.5110121579850323,0.8747245452745341,0.5945576425966159,East 42nd Street,mid_block,656.1016918051109,40.74892499999999,-73.970064
n00687,0.0,0.0,0.0,0.0,0.0,0.0,,0.6739663327223736,0.8628052836176664,0.6739663327223736,East 42nd Street,mid_block,655.5478377484835,40.748833,-73.96986
n00688,6.9573185339535115,2.370525622289135,7.390466506974177,2.8036735953098013,4.880496064631657,0.42463659992214453,0.6716844553836233,0.5271135038686569,0.7807292416729773,0.6032697714976565,East 42nd Street,mid_block,650.1310407635038,40.748711,-73.969704
