node_id,osm_name,d
n00504,East 39th Street,239.17895837736916
n00505,East 39th Street,229.92000885027446
n00506,East 39th Street,219.62104595481193
n00507,East 39th Street,210.58113181639987
n00508,East 39th Street,202.97481788498098
n00509,East 39th Street,197.11390395149846
n00510,East 39th Street,193.52534943482462
n00511,East 39th Street,192.0116405912028
n00512,East 39th Street,192.52809450089865
n00513,East 39th Street,195.10857750516686
n00514,East 39th Street,197.87859755118816
n00515,East 39th Street,204.22707262288492
n00516,East 39th Street,212.72220267641933
n00517,East 39th Street,222.59056216437276
n00518,East 39th Street,230.8175910506176
n00519,East 39th Street,230.39091708892894
n00520,East 39th Street,230.47650481720277
n00521,East 39th Street,228.05349944822208
n00522,East 39th Street,225.45667042161097
n00523,East 39th Street,224.6593563265724
n00524,East 39th Street,225.54445068692553
n00525,East 39th Street,228.02503135163994
