node_id,osm_name,hw,snap_m,is_pedestrian,fov
n00448,Copthall Avenue,pedestrian,1.2668877889360972,True,180
n00449,Copthall Avenue,pedestrian,0.5359090739443894,True,180
n00450,Copthall Avenue,unclassified,0.05993443641210253,False,90
n00451,Copthall Avenue,service,0.07960532033571098,False,90
n00452,Copthall Avenue,unclassified,0.9101843393532427,False,90
n00453,Copthall Avenue,unclassified,1.1689532782426648,False,90
n00454,Copthall Avenue,unclassified,1.1775525438592862,False,90
n00455,Cornhill,steps,0.11537672072337092,True,180
n00456,Cornhill,tertiary,0.16273435250761556,False,90
n00457,Cornhill,tertiary,0.8694181812116466,False,90
n00458,Cornhill,tertiary,0.7470913783843831,False,90
n00459,Cornhill,tertiary,0.21823127875211545,False,90
n00460,Cornhill,tertiary,0.9669820578316476,False,90
n00461,Cornhill,tertiary,1.6892179256848798,False,90
n00462,Cornhill,tertiary,1.808848096259463,False,90
n00463,Cornhill,tertiary,1.6248658147395871,False,90
n00464,Cornhill,tertiary,1.0073774540825853,False,90
n00465,Cornhill,tertiary,0.9618069137674766,False,90
n00466,Cornhill,tertiary,0.42654756596300303,False,90
n00467,Cornhill,tertiary,0.450614535674052,False,90
n00468,Cornhill,tertiary,1.4546812323187714,False,90
n00469,Cornhill,tertiary,2.604591946733164,False,90
n00470,Cornhill,tertiary,1.9864954439192457,False,90
n00471,Cousin Lane,footway,0.11496084782027786,True,180
n00472,Cousin Lane,pedestrian,1.4748162503949154,True,180
n00473,Cousin Lane,pedestrian,0.6823282093150255,True,180
n00474,Cousin Lane,pedestrian,0.061306384500917216,True,180
n00475,Cousin Lane,pedestrian,0.37340643777786153,True,180
n00476,Cousin Lane,pedestrian,0.7597137218397633,True,180
n00477,Cross Lane,residential,1.5049900315786362,False,90
n00478,Cross Lane,residential,1.3794786927338927,False,90
n00479,Cullum Street,tertiary,0.7645496913753443,False,90
n00480,Cullum Street,unclassified,0.3037169902169992,False,90
