node_id,osm_name,street_category,chain,chain_pos_m,lat,lon,typology,northing_m,easting_m,along_dist,cross_dist,n_images,directions,name_resolved,excluded_by_pattern,collides_m,intersection_dup,axis_mismatch,frame_ok,nearest_img_m,nearest_img_node,reusable
1st_avenue_035,1st Avenue,1st_avenue,1st_avenue#0,611.8604982719004,40.748163,-73.970492,avenue_secondary,564.9319620243052,907.8865689292782,221.57811396714175,450.9155177000816,2,Northbound/Southbound,True,False,10.001038493817404,False,False,True,8.782479653900502,n00032,False
1st_avenue_036,1st Avenue,1st_avenue,1st_avenue#0,633.8604131873877,40.748072,-73.97026,avenue_secondary,565.619597045648,929.8757347698939,222.2330547711691,472.941462918128,2,Northbound/Southbound,True,False,8.428330828025544,False,False,True,4.973572523058426,n00038,True
1st_avenue_037,1st Avenue,1st_avenue,1st_avenue#0,664.063903502135,40.748326,-73.970392,avenue_secondary,584.7794795987346,906.5272931142939,241.50177361011788,449.5220773183576,2,Northbound/Southbound,True,False,11.239166138653937,False,False,True,8.80433822805392,n00033,False
1st_avenue_038,1st Avenue,1st_avenue,1st_avenue#0,691.2312746378208,40.74821,-73.970108,avenue_secondary,585.1761762033373,933.6917678235164,241.85639387918357,476.732713667011,2,Northbound/Southbound,True,False,11.44624979343295,False,False,True,4.926159020252647,n00039,True
1st_avenue_039,1st Avenue,1st_avenue,1st_avenue#0,724.6692287852711,40.748484,-73.970276,avenue_secondary,604.797771213417,906.6161369568606,261.59452182196975,449.5789775335947,2,Northbound/Southbound,True,False,11.072128719640078,False,False,True,8.715041284627883,n00034,False
1st_avenue_040,1st Avenue,1st_avenue,1st_avenue#0,751.4128719407234,40.748369,-73.969997,avenue_secondary,605.0867181695974,933.358219128649,261.84166815937255,476.3666664289648,2,Northbound/Southbound,True,False,11.111415671740719,False,False,True,4.941208675913359,n00040,True
1st_avenue_041,1st Avenue,1st_avenue,1st_avenue#0,784.5083165859445,40.748641,-73.970161,avenue_secondary,624.6784963434467,906.6848113176554,281.5492232406938,449.61589408968376,2,Northbound/Southbound,True,False,10.97360675134143,False,False,True,8.763816668762946,n00035,False
1st_avenue_042,1st Avenue,1st_avenue,1st_avenue#0,810.9243844346494,40.748528,-73.969885,avenue_secondary,625.0381461590143,933.0984307704593,281.8678625613409,476.0744410431325,2,Northbound/Southbound,True,False,10.781272048131221,False,False,True,4.91658563603786,n00041,True
1st_avenue_043,1st Avenue,1st_avenue,1st_avenue#0,843.8141859214355,40.748799,-73.970046,avenue_secondary,644.6559019362405,906.699894824212,301.60105133203797,449.5989724533736,2,Northbound/Southbound,True,False,14.010519923924447,False,False,True,8.703909768226515,n00036,False
1st_avenue_044,1st Avenue,1st_avenue,1st_avenue#0,869.6056813915708,40.748688,-73.969777,avenue_secondary,644.9227105230598,932.490010212942,301.82750315331714,475.4330900576622,2,Northbound/Southbound,True,False,6.660713247809712,False,False,True,4.931131812184883,n00042,True
